date,Brent oil price,year
2011/5/4,121.55,2011
2011/5/5,111.93,2011
2011/5/6,113.69,2011
2011/5/9,113.21,2011
2011/5/10,117.82,2011
2011/5/11,115.66,2011
2011/5/12,112.87,2011
2011/5/13,113.08,2011
2011/5/16,113.72,2011
2011/5/17,109.39,2011
2011/5/18,112.54,2011
2011/5/19,113.2,2011
2011/5/20,111.25,2011
2011/5/23,110.13,2011
2011/5/24,112.52,2011
2011/5/25,114.47,2011
2011/5/26,115.06,2011
2011/5/27,114.85,2011
2011/5/31,117.18,2011
2011/6/1,116.15,2011
2011/6/2,114.3,2011
2011/6/3,115.09,2011
2011/6/6,115.4,2011
2011/6/7,116.14,2011
2011/6/8,118.43,2011
2011/6/9,119.95,2011
2011/6/10,118.71,2011
2011/6/13,120.49,2011
2011/6/14,120.35,2011
2011/6/15,114.67,2011
2011/6/16,114.69,2011
2011/6/17,113.74,2011
2011/6/20,112.21,2011
2011/6/21,112.02,2011
2011/6/22,113.59,2011
2011/6/23,108.27,2011
2011/6/24,104.79,2011
2011/6/27,104.57,2011
2011/6/28,107.57,2011
2011/6/29,111.49,2011
2011/6/30,111.71,2011
2011/7/1,109.82,2011
2011/7/5,113.21,2011
2011/7/6,113.55,2011
2011/7/7,117.4,2011
2011/7/8,117.4,2011
2011/7/11,117.35,2011
2011/7/12,117.36,2011
2011/7/13,118.46,2011
2011/7/14,117.38,2011
2011/7/15,118.06,2011
2011/7/18,117.05,2011
2011/7/19,118.18,2011
2011/7/20,118.52,2011
2011/7/21,118.25,2011
2011/7/22,118.99,2011
2011/7/25,118.27,2011
2011/7/26,118.14,2011
2011/7/27,117.99,2011
2011/7/28,118.16,2011
2011/7/29,115.93,2011
2011/8/1,116.37,2011
2011/8/2,116.02,2011
2011/8/3,113.74,2011
2011/8/4,110.22,2011
2011/8/5,106.92,2011
2011/8/8,103.06,2011
2011/8/9,103.63,2011
2011/8/10,103.84,2011
2011/8/11,107.82,2011
2011/8/12,108.17,2011
2011/8/15,108.89,2011
2011/8/16,109.69,2011
2011/8/17,111.37,2011
2011/8/18,108.36,2011
2011/8/19,109.37,2011
2011/8/22,108.83,2011
2011/8/23,110.35,2011
2011/8/24,111.91,2011
2011/8/25,111.91,2011
2011/8/26,112.29,2011
2011/8/30,115.59,2011
2011/8/31,116.48,2011
2011/9/1,116.43,2011
2011/9/2,115.92,2011
2011/9/6,113.29,2011
2011/9/7,117.5,2011
2011/9/8,117.99,2011
2011/9/9,115.1,2011
2011/9/12,114.75,2011
2011/9/13,114.08,2011
2011/9/14,113.1,2011
2011/9/15,116.71,2011
2011/9/16,116.26,2011
2011/9/19,112.89,2011
2011/9/20,114.39,2011
2011/9/21,114.26,2011
2011/9/22,109.21,2011
2011/9/23,109.17,2011
2011/9/26,107.9,2011
2011/9/27,109.54,2011
2011/9/28,108.52,2011
2011/9/29,107.08,2011
2011/9/30,105.42,2011
2011/10/3,103.61,2011
2011/10/4,101.84,2011
2011/10/5,103.77,2011
2011/10/6,104.38,2011
2011/10/7,106.56,2011
2011/10/10,109.49,2011
2011/10/11,109.22,2011
2011/10/12,112.44,2011
2011/10/13,112.45,2011
2011/10/14,114.33,2011
2011/10/17,112.92,2011
2011/10/18,112.08,2011
2011/10/19,111.76,2011
2011/10/20,109,2011
2011/10/21,111.6,2011
2011/10/24,111.67,2011
2011/10/25,112.11,2011
2011/10/26,110.43,2011
2011/10/27,112.45,2011
2011/10/28,110.01,2011
2011/10/31,108.43,2011
2011/11/1,106.97,2011
2011/11/2,110.82,2011
2011/11/3,110.76,2011
2011/11/4,112.22,2011
2011/11/7,114.75,2011
2011/11/8,115.61,2011
2011/11/9,115.29,2011
2011/11/10,113.32,2011
2011/11/11,114.43,2011
2011/11/14,112.57,2011
2011/11/15,111.9,2011
2011/11/16,111.91,2011
2011/11/17,109.25,2011
2011/11/18,107.82,2011
2011/11/21,105.98,2011
2011/11/22,107.77,2011
2011/11/23,106.83,2011
2011/11/25,106.08,2011
2011/11/28,109.38,2011
2011/11/29,111.25,2011
2011/11/30,111.22,2011
2011/12/1,108.83,2011
2011/12/2,109.59,2011
2011/12/5,110.18,2011
2011/12/6,110.16,2011
2011/12/7,110.07,2011
2011/12/8,108.23,2011
2011/12/9,107.91,2011
2011/12/12,107.82,2011
2011/12/13,109.25,2011
2011/12/14,105.72,2011
2011/12/15,104.52,2011
2011/12/16,104,2011
2011/12/19,104.55,2011
2011/12/20,107.8,2011
2011/12/21,108,2011
2011/12/22,108.98,2011
2011/12/23,109.28,2011
2011/12/28,107.54,2011
2011/12/29,106.89,2011
2011/12/30,108.09,2011
2012/1/3,111.12,2012
2012/1/4,113.37,2012
2012/1/5,113.59,2012
2012/1/6,111.96,2012
2012/1/9,111.07,2012
2012/1/10,113.3,2012
2012/1/11,111.66,2012
2012/1/12,112.97,2012
2012/1/13,109.88,2012
2012/1/17,110.55,2012
2012/1/18,109.81,2012
2012/1/19,109.54,2012
2012/1/20,108.5,2012
2012/1/23,109.46,2012
2012/1/24,108.38,2012
2012/1/25,108.48,2012
2012/1/26,109.08,2012
2012/1/27,110.5,2012
2012/1/30,110.24,2012
2012/1/31,110.26,2012
2012/2/1,111.96,2012
2012/2/2,110.96,2012
2012/2/3,112.56,2012
2012/2/6,115.47,2012
2012/2/7,116.86,2012
2012/2/8,117.18,2012
2012/2/9,118.4,2012
2012/2/10,118.13,2012
2012/2/13,118.73,2012
2012/2/14,118.3,2012
2012/2/15,120.25,2012
2012/2/16,121,2012
2012/2/17,120.69,2012
2012/2/21,120.85,2012
2012/2/22,123.07,2012
2012/2/23,124.53,2012
2012/2/24,124.89,2012
2012/2/27,126.46,2012
2012/2/28,124.02,2012
2012/2/29,122.23,2012
2012/3/1,125.76,2012
2012/3/2,125.93,2012
2012/3/5,126.68,2012
2012/3/6,125.03,2012
2012/3/7,125.37,2012
2012/3/8,127.96,2012
2012/3/9,128.08,2012
2012/3/12,127.27,2012
2012/3/13,128.14,2012
2012/3/14,126.98,2012
2012/3/15,123.63,2012
2012/3/16,125.09,2012
2012/3/19,125.76,2012
2012/3/20,124.38,2012
2012/3/21,123.89,2012
2012/3/22,122.49,2012
2012/3/23,125.21,2012
2012/3/26,125.85,2012
2012/3/27,125.25,2012
2012/3/28,124.41,2012
2012/3/29,123.23,2012
2012/3/30,123.41,2012
2012/4/2,124.44,2012
2012/4/4,123.04,2012
2012/4/5,123.58,2012
2012/4/10,121.89,2012
